# Model SED for star xi Boo B = HD 131156B = GJ 566B
# Spectral template: K5V_61CygA_GaiaDR3_spec.dat
# Adjusted Vmag(template)=5.234 to Vmag(target)=6.820
#lam(nm) Flux(W/m2/nm) unc_Flux(W/m2/nm)
  752 0.802888E-13 0.347008E-15
  754 0.805492E-13 0.326673E-15
  756 0.806220E-13 0.295229E-15
  758 0.807269E-13 0.299660E-15
  760 0.807564E-13 0.325746E-15
  762 0.804636E-13 0.329397E-15
  764 0.801159E-13 0.305718E-15
  766 0.798554E-13 0.287011E-15
  768 0.796881E-13 0.297125E-15
  770 0.798386E-13 0.316868E-15
  772 0.799018E-13 0.318679E-15
  774 0.799209E-13 0.304529E-15
  776 0.799411E-13 0.295348E-15
  778 0.797947E-13 0.301815E-15
  780 0.794439E-13 0.313289E-15
  782 0.787810E-13 0.315831E-15
  784 0.783564E-13 0.310100E-15
  786 0.779444E-13 0.303185E-15
  788 0.776728E-13 0.303909E-15
  790 0.776464E-13 0.313447E-15
  792 0.777467E-13 0.323517E-15
  794 0.780160E-13 0.324321E-15
  796 0.782831E-13 0.311877E-15
  798 0.782887E-13 0.294336E-15
  800 0.782194E-13 0.289105E-15
  802 0.778644E-13 0.300370E-15
  804 0.773237E-13 0.313299E-15
  806 0.769002E-13 0.312699E-15
  808 0.763966E-13 0.297843E-15
  810 0.759434E-13 0.285716E-15
  812 0.756516E-13 0.290219E-15
  814 0.752348E-13 0.301310E-15
  816 0.753012E-13 0.303009E-15
  818 0.752178E-13 0.288975E-15
  820 0.752843E-13 0.277328E-15
  822 0.751434E-13 0.286080E-15
  824 0.749777E-13 0.308892E-15
  826 0.749273E-13 0.321218E-15
  828 0.747697E-13 0.308135E-15
  830 0.744946E-13 0.279929E-15
  832 0.742141E-13 0.267066E-15
  834 0.737400E-13 0.286378E-15
  836 0.733075E-13 0.317682E-15
  838 0.730886E-13 0.332683E-15
  840 0.725914E-13 0.319905E-15
  842 0.722026E-13 0.295108E-15
  844 0.714568E-13 0.283145E-15
  846 0.712699E-13 0.299151E-15
  848 0.710780E-13 0.323309E-15
  850 0.709515E-13 0.334612E-15
  852 0.706122E-13 0.327198E-15
  854 0.704639E-13 0.315030E-15
  856 0.703352E-13 0.312949E-15
  858 0.703523E-13 0.323662E-15
  860 0.702224E-13 0.333890E-15
  862 0.700461E-13 0.334142E-15
  864 0.700495E-13 0.327946E-15
  866 0.701096E-13 0.326182E-15
  868 0.706623E-13 0.338033E-15
  870 0.704736E-13 0.351035E-15
  872 0.709692E-13 0.359555E-15
  874 0.711712E-13 0.353607E-15
  876 0.715291E-13 0.342989E-15
  878 0.718651E-13 0.341373E-15
  880 0.725097E-13 0.357443E-15
  882 0.725824E-13 0.378287E-15
  884 0.724676E-13 0.391135E-15
  886 0.720874E-13 0.388625E-15
  888 0.716829E-13 0.377673E-15
  890 0.713177E-13 0.372574E-15
  892 0.707729E-13 0.382203E-15
  894 0.701981E-13 0.402742E-15
  896 0.700214E-13 0.422805E-15
  898 0.696417E-13 0.428769E-15
  900 0.695552E-13 0.424307E-15
  902 0.695741E-13 0.418497E-15
  904 0.694188E-13 0.421199E-15
  906 0.692356E-13 0.435617E-15
  908 0.694274E-13 0.455920E-15
  910 0.691012E-13 0.466047E-15
  912 0.688084E-13 0.466134E-15
  914 0.686070E-13 0.462263E-15
  916 0.684197E-13 0.464080E-15
  918 0.677167E-13 0.473535E-15
  920 0.673944E-13 0.492023E-15
  922 0.676055E-13 0.510248E-15
  924 0.672271E-13 0.512082E-15
  926 0.669829E-13 0.504077E-15
  928 0.673278E-13 0.499458E-15
  930 0.672727E-13 0.502725E-15
  932 0.671673E-13 0.520343E-15
  934 0.672905E-13 0.546593E-15
  936 0.673230E-13 0.566285E-15
  938 0.673765E-13 0.572033E-15
  940 0.669974E-13 0.561164E-15
  942 0.665579E-13 0.547267E-15
  944 0.668594E-13 0.550437E-15
  946 0.661351E-13 0.562579E-15
  948 0.656796E-13 0.587772E-15
  950 0.659688E-13 0.616966E-15
  952 0.653510E-13 0.624175E-15
  954 0.651684E-13 0.620650E-15
  956 0.655208E-13 0.616333E-15
  958 0.654001E-13 0.615788E-15
  960 0.654616E-13 0.634395E-15
  962 0.655094E-13 0.666870E-15
  964 0.656831E-13 0.701634E-15
  966 0.650858E-13 0.716127E-15
  968 0.648855E-13 0.718334E-15
  970 0.647869E-13 0.711775E-15
  972 0.636436E-13 0.699403E-15
  974 0.634583E-13 0.718535E-15
  976 0.627746E-13 0.755951E-15
  978 0.614822E-13 0.796338E-15
  980 0.615108E-13 0.845515E-15
  982 0.602628E-13 0.855170E-15
  984 0.599512E-13 0.854519E-15
  986 0.595675E-13 0.842463E-15
  988 0.587358E-13 0.836496E-15
  990 0.592754E-13 0.882009E-15
  992 0.587194E-13 0.943583E-15
  994 0.591304E-13 0.103398E-14
  996 0.594859E-13 0.111268E-14
  998 0.592604E-13 0.115141E-14
 1000 0.596016E-13 0.117078E-14
 1002 0.596304E-13 0.117454E-14
 1004 0.592738E-13 0.120233E-14
 1006 0.597040E-13 0.131992E-14
 1008 0.590887E-13 0.149567E-14
 1010 0.592147E-13 0.173624E-14
 1012 0.596605E-13 0.198082E-14
 1014 0.590889E-13 0.213128E-14
 1016 0.601933E-13 0.225072E-14
 1018 0.594704E-13 0.221902E-14
 1020 0.604178E-13 0.223752E-14
