# Model SED for star alfCenA                         
# Spectral template: G2V_18Sco_GaiaDR3_spec.dat      
# Adjusted Vmag(template)= 5.500 to Vmag(target)= 0.010
 # lam(nm) Flux(W/m2/nm) unc_Flux(W/m2/nm)
  966 0.161876E-10 0.468036E-12
  968 0.160781E-10 0.467884E-12
  970 0.160155E-10 0.462902E-12
  972 0.157211E-10 0.455200E-12
  974 0.156903E-10 0.468654E-12
  976 0.155598E-10 0.493815E-12
  978 0.152941E-10 0.519995E-12
  980 0.153632E-10 0.550748E-12
  982 0.151085E-10 0.554602E-12
  984 0.150719E-10 0.550774E-12
  986 0.149918E-10 0.539156E-12
  988 0.147674E-10 0.532500E-12
  990 0.148533E-10 0.561466E-12
  992 0.146317E-10 0.603917E-12
  994 0.146233E-10 0.666729E-12
  996 0.145798E-10 0.722075E-12
  998 0.143844E-10 0.749645E-12
 1000 0.143286E-10 0.760582E-12
 1002 0.142113E-10 0.754964E-12
 1004 0.140287E-10 0.758141E-12
 1006 0.140682E-10 0.816603E-12
 1008 0.139047E-10 0.918171E-12
 1010 0.139632E-10 0.106993E-11
 1012 0.141452E-10 0.123246E-11
 1014 0.141282E-10 0.134119E-11
 1016 0.145461E-10 0.143193E-11
 1018 0.145423E-10 0.142348E-11
 1020 0.149505E-10 0.143687E-11
