# Model SED for star alfCenB                         
# Spectral template: K1V_HD56298_GaiaDR3_spec.dat    
# Adjusted Vmag(template)= 6.713 to Vmag(target)= 1.340
 # lam(nm) Flux(W/m2/nm) unc_Flux(W/m2/nm)
  890 0.718912E-11 0.699867E-13
  892 0.713277E-11 0.710971E-13
  894 0.707167E-11 0.751007E-13
  896 0.704993E-11 0.797310E-13
  898 0.700732E-11 0.818562E-13
  900 0.699327E-11 0.816568E-13
  902 0.698769E-11 0.806366E-13
  904 0.696114E-11 0.809010E-13
  906 0.692716E-11 0.836247E-13
  908 0.692546E-11 0.880870E-13
  910 0.686724E-11 0.911423E-13
  912 0.680901E-11 0.924196E-13
  914 0.675849E-11 0.925729E-13
  916 0.671046E-11 0.930971E-13
  918 0.661547E-11 0.945010E-13
  920 0.656310E-11 0.977805E-13
  922 0.656853E-11 0.101832E-12
  924 0.652211E-11 0.103740E-12
  926 0.649265E-11 0.104471E-12
  928 0.652186E-11 0.105800E-12
  930 0.651139E-11 0.107501E-12
  932 0.649302E-11 0.110540E-12
  934 0.649246E-11 0.114568E-12
  936 0.647879E-11 0.117784E-12
  938 0.646396E-11 0.119730E-12
  940 0.640684E-11 0.120131E-12
  942 0.634625E-11 0.121043E-12
  944 0.636149E-11 0.125126E-12
  946 0.628686E-11 0.128972E-12
  948 0.624701E-11 0.133516E-12
  950 0.628714E-11 0.138098E-12
  952 0.624820E-11 0.138538E-12
  954 0.625488E-11 0.138446E-12
  956 0.631306E-11 0.140065E-12
  958 0.632143E-11 0.143157E-12
  960 0.633916E-11 0.149393E-12
  962 0.634471E-11 0.156677E-12
  964 0.635063E-11 0.162942E-12
  966 0.627140E-11 0.164368E-12
  968 0.622298E-11 0.164156E-12
  970 0.618132E-11 0.163833E-12
  972 0.604311E-11 0.163662E-12
  974 0.600495E-11 0.170728E-12
  976 0.593389E-11 0.180317E-12
  978 0.582337E-11 0.188484E-12
  980 0.585775E-11 0.197534E-12
  982 0.578903E-11 0.197457E-12
  984 0.582462E-11 0.196249E-12
  986 0.586214E-11 0.194318E-12
  988 0.585607E-11 0.195372E-12
  990 0.598005E-11 0.208553E-12
  992 0.597936E-11 0.224071E-12
  994 0.605622E-11 0.244644E-12
  996 0.610258E-11 0.261359E-12
  998 0.606258E-11 0.268518E-12
 1000 0.605493E-11 0.271657E-12
 1002 0.599414E-11 0.271854E-12
 1004 0.588150E-11 0.277800E-12
 1006 0.584377E-11 0.303654E-12
 1008 0.571377E-11 0.341564E-12
 1010 0.568033E-11 0.393529E-12
 1012 0.571649E-11 0.446677E-12
 1014 0.570729E-11 0.480076E-12
 1016 0.592317E-11 0.509213E-12
 1018 0.602589E-11 0.507780E-12
 1020 0.636272E-11 0.520624E-12
