# Model SED for star 70 Oph B = GJ 702B = HD 165341 B
# Spectral template: K4V_HD160964_GaiaDR3_spec.dat
# Adjusted Vmag(template)=8.564 to Vmag(target)=6.066
# lam(nm) Flux(W/m2/nm) unc_Flux(W/m2/nm)
  766 0.145553E-12 0.922065E-15
  768 0.146113E-12 0.993890E-15
  770 0.146912E-12 0.968328E-15
  772 0.146990E-12 0.891905E-15
  774 0.146440E-12 0.892264E-15
  776 0.145588E-12 0.970418E-15
  778 0.144499E-12 0.100798E-14
  780 0.143459E-12 0.961633E-15
  782 0.142471E-12 0.906201E-15
  784 0.142481E-12 0.934637E-15
  786 0.142797E-12 0.100288E-14
  788 0.143232E-12 0.102051E-14
  790 0.143575E-12 0.978408E-15
  792 0.143374E-12 0.943126E-15
  794 0.142728E-12 0.959766E-15
  796 0.141592E-12 0.983996E-15
  798 0.139927E-12 0.964984E-15
  800 0.138514E-12 0.928305E-15
  802 0.137300E-12 0.932085E-15
  804 0.136565E-12 0.977267E-15
  806 0.136706E-12 0.100125E-14
  808 0.137051E-12 0.963235E-15
  810 0.137425E-12 0.903474E-15
  812 0.137669E-12 0.898198E-15
  814 0.137052E-12 0.950862E-15
  816 0.136669E-12 0.998343E-15
  818 0.135539E-12 0.985110E-15
  820 0.134494E-12 0.940118E-15
  822 0.133209E-12 0.924389E-15
  824 0.132260E-12 0.959557E-15
  826 0.132008E-12 0.993401E-15
  828 0.132023E-12 0.974341E-15
  830 0.132123E-12 0.919271E-15
  832 0.132278E-12 0.899431E-15
  834 0.131931E-12 0.948132E-15
  836 0.131355E-12 0.101407E-14
  838 0.130815E-12 0.102938E-14
  840 0.129499E-12 0.975470E-15
  842 0.128244E-12 0.917359E-15
  844 0.126401E-12 0.926697E-15
  846 0.125743E-12 0.101000E-14
  848 0.125360E-12 0.107929E-14
  850 0.125375E-12 0.107735E-14
  852 0.125218E-12 0.101088E-14
  854 0.125467E-12 0.956447E-15
  856 0.125673E-12 0.976958E-15
  858 0.125938E-12 0.105445E-14
  860 0.125669E-12 0.111125E-14
  862 0.125042E-12 0.110663E-14
  864 0.124515E-12 0.106309E-14
  866 0.123963E-12 0.103775E-14
  868 0.124263E-12 0.107540E-14
  870 0.123338E-12 0.112802E-14
  872 0.123755E-12 0.115959E-14
  874 0.123823E-12 0.112943E-14
  876 0.124305E-12 0.107399E-14
  878 0.124848E-12 0.105248E-14
  880 0.125976E-12 0.110315E-14
  882 0.126118E-12 0.117729E-14
  884 0.125921E-12 0.121967E-14
  886 0.125252E-12 0.120090E-14
  888 0.124549E-12 0.114760E-14
  890 0.123947E-12 0.111741E-14
  892 0.123086E-12 0.114657E-14
  894 0.122227E-12 0.121460E-14
  896 0.122094E-12 0.127082E-14
  898 0.121603E-12 0.126704E-14
  900 0.121567E-12 0.122095E-14
  902 0.121609E-12 0.117865E-14
  904 0.121205E-12 0.118798E-14
  906 0.120602E-12 0.125325E-14
  908 0.120519E-12 0.133241E-14
  910 0.119451E-12 0.135862E-14
  912 0.118427E-12 0.132895E-14
  914 0.117617E-12 0.127541E-14
  916 0.116954E-12 0.125304E-14
  918 0.115579E-12 0.128692E-14
  920 0.115035E-12 0.136907E-14
  922 0.115560E-12 0.144620E-14
  924 0.115181E-12 0.145324E-14
  926 0.115055E-12 0.140590E-14
  928 0.115886E-12 0.135604E-14
  930 0.115900E-12 0.134296E-14
  932 0.115654E-12 0.139996E-14
  934 0.115615E-12 0.149871E-14
  936 0.115261E-12 0.157366E-14
  938 0.114841E-12 0.158930E-14
  940 0.113666E-12 0.153847E-14
  942 0.112463E-12 0.147464E-14
  944 0.112665E-12 0.147647E-14
  946 0.111348E-12 0.153280E-14
  948 0.110718E-12 0.163733E-14
  950 0.111560E-12 0.173973E-14
  952 0.111024E-12 0.175175E-14
  954 0.111288E-12 0.170561E-14
  956 0.112430E-12 0.164617E-14
  958 0.112621E-12 0.161756E-14
  960 0.112904E-12 0.168315E-14
  962 0.112896E-12 0.181611E-14
  964 0.112837E-12 0.195163E-14
  966 0.111234E-12 0.200080E-14
  968 0.110178E-12 0.197687E-14
  970 0.109273E-12 0.190004E-14
  972 0.106722E-12 0.181301E-14
  974 0.106017E-12 0.185672E-14
  976 0.104814E-12 0.200608E-14
  978 0.102984E-12 0.218348E-14
  980 0.103765E-12 0.236178E-14
  982 0.102729E-12 0.238095E-14
  984 0.103513E-12 0.231650E-14
  986 0.104260E-12 0.218552E-14
  988 0.104128E-12 0.209324E-14
  990 0.106183E-12 0.222218E-14
  992 0.105888E-12 0.248745E-14
  994 0.106840E-12 0.286035E-14
  996 0.107139E-12 0.317039E-14
  998 0.105844E-12 0.329504E-14
 1000 0.105076E-12 0.326926E-14
 1002 0.103394E-12 0.310621E-14
 1004 0.100880E-12 0.298465E-14
 1006 0.997577E-13 0.321685E-14
 1008 0.972050E-13 0.380200E-14
 1010 0.964627E-13 0.467752E-14
 1012 0.970622E-13 0.557585E-14
 1014 0.970130E-13 0.613946E-14
 1016 0.100834E-12 0.648753E-14
 1018 0.102656E-12 0.623027E-14
 1020 0.108240E-12 0.595003E-14
